idurl,url,dia,mes,ano
644,www.infomoney.com.br/mercados/ibovespa-fecha-pregao-em-alta-de-15-com-alivio-domestico-e-dolar-cai-34-na-semana-gracas-a-fed/,28,ago,2020
662,www.infomoney.com.br/mercados/ibovespa-sobe-seguindo-wall-street-e-com-atencao-ao-ajuste-fiscal-dolar-cai-mais-de-1-a-r-550/,28,ago,2020
666,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-exterior-e-em-meio-a-expectativas-sobre-os-programas-do-governo-dolar-cai-a-r-550/,28,ago,2020
669,www.infomoney.com.br/mercados/petrobras-faz-nova-venda-de-ativos-lucro-da-pagseguro-cai-82-bv-retoma-ipo-e-cury-define-faixa-de-preco-de-acoes-no-radar/,28,ago,2020
674,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-sexta-feira-280820/,28,ago,2020
685,www.infomoney.com.br/mercados/acoes-da-br-caem-3-com-petrobras-aprovando-venda-de-participacao-sanepar-desaba-6-apos-parana-pedir-suspensao-de-reajuste/,27,ago,2020
686,www.infomoney.com.br/mercados/ibovespa-fecha-estavel-com-risco-fiscal-limitando-animo-com-anuncio-do-fed-dolar-cai-a-r-557/,27,ago,2020
711,www.infomoney.com.br/mercados/ibovespa-sobe-repercutindo-o-discurso-do-presidente-do-fed-dolar-cai-a-r-559/,27,ago,2020
720,www.infomoney.com.br/mercados/ibovespa-futuro-opera-entre-perdas-e-ganhos-com-tentativa-de-correcao-ofuscada-por-cautela-antes-de-fala-de-powell/,27,ago,2020
723,www.infomoney.com.br/mercados/petrobras-vendera-fatia-restante-na-br-yduqs-tem-prejuizo-governo-quer-projeto-clone-para-privatizar-eletrobras-e-mais/,27,ago,2020
725,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quinta-feira-270820/,27,ago,2020
727,www.infomoney.com.br/mercados/cvm-suspende-julgamento-que-apura-suposta-falha-da-pwc-em-auditorias-da-petrobras/,26,ago,2020
733,www.infomoney.com.br/mercados/acao-da-qualicorp-ameniza-apos-subir-forte-com-resultado-do-2o-tri-notredame-avanca-apos-acertar-compra-bilionaria-e-tecnisa-tem-nova-alta/,26,ago,2020
734,www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-15-apos-fala-de-bolsonaro-mas-mantem-os-100-mil-pontos-gracas-a-wall-street-dolar-sobe-a-r-561/,26,ago,2020
749,www.infomoney.com.br/mercados/jbs-supera-petrobras-pela-primeira-vez-e-registra-maior-receita-trimestral-do-brasil-confira-o-ranking/,26,ago,2020
763,www.infomoney.com.br/mercados/ibovespa-opera-entre-perdas-e-ganhos-com-investidores-atentos-a-pacote-do-governo-dolar-sobe/,26,ago,2020
764,www.infomoney.com.br/mercados/ibovespa-futuro-tem-leve-baixa-com-expectativas-por-pacote-do-governo-e-sinalizacoes-do-fed-dolar-sobe/,26,ago,2020
