idurl,url,autor,dia,mes,ano
115,www.infomoney.com.br/-/supermercados-tem-sofrido-pressao-para-elevar-precos-por-politica-pro-exportacao-diz-associacao/," Estadão Conteúdo ",3,set,2020
116,www.infomoney.com.br/-/ministerio-do-meio-ambiente-desmontou-o-que-foi-criado-em-decadas-diz-maia/," Estadão Conteúdo ",3,set,2020
117,www.infomoney.com.br/-/recuperacao-em-forma-de-k-em-emergentes-torna-ricos-mais-ricos/," Bloomberg ",3,set,2020
118,www.infomoney.com.br/politica/governo-apresenta-detalhes-da-pec-da-reforma-administrativa-acompanhe/," Equipe InfoMoney ",3,set,2020
119,www.infomoney.com.br/mercados/portos-congestionados-na-china-afetam-compras-de-minerio-de-ferro-e-carvao/," Bloomberg ",3,set,2020
120,www.infomoney.com.br/-/pedidos-por-seguro-desemprego-nos-eua-somam-881-mil-na-ultima-semana-com-mudanca-de-calculo/," Ricardo Bomfim ",3,set,2020
121,www.infomoney.com.br/-/governo-edita-mp-que-prorroga-o-auxilio-emergencial-veja-quem-vai-receber-as-novas-parcelas-de-r-300/," Giovanna Sutto ",3,set,2020
122,www.infomoney.com.br/-/producao-industrial-cresce-8-em-julho-na-comparacao-mensal-acima-do-esperado-pelos-economistas/," Equipe InfoMoney ",3,set,2020
123,www.infomoney.com.br/-/orcamento-irrealista-coloca-em-xeque-teto-de-gastos-afirmam-economistas/," Estadão Conteúdo ",3,set,2020
124,www.infomoney.com.br/politica/o-supremo-tribunal-federal-e-midiatico-e-ativista-diz-ex-secretario-salim-mattar/," Priscila Yazbek ",3,set,2020
125,www.infomoney.com.br/politica/bolsonaro-envia-proposta-de-reforma-administrativa-ao-congresso-informa-dou-confira-as-mudancas/," Equipe InfoMoney ",3,set,2020
126,www.infomoney.com.br/-/um-dos-petroestados-mais-ricos-do-mundo-enfrenta-crise-fiscal/," Bloomberg ",2,set,2020
127,www.infomoney.com.br/-/atividade-melhora-mas-esta-distante-do-nivel-pre-covid-diz-livro-bege-do-fed/," Estadão Conteúdo ",2,set,2020
128,www.infomoney.com.br/minhas-financas/coronavoucher-reduz-pobreza-e-desigualdade-mesmo-em-pandemia/," Bloomberg ",2,set,2020
129,www.infomoney.com.br/-/bc-tem-perda-de-r-23519-bilhoes-com-swap-cambial-em-agosto-ate-dia-28/," Estadão Conteúdo ",2,set,2020
130,www.infomoney.com.br/-/governo-de-sp-anuncia-fiscalizacoes-mais-rigidas-no-litoral-durante-feriado-de-7-de-setembro/," Equipe InfoMoney ",2,set,2020
131,www.infomoney.com.br/-/banco-central-apresenta-a-nova-nota-de-r-200-veja-fotos/," Giovanna Sutto ",2,set,2020
132,www.infomoney.com.br/colunistas/pedro-jobim/com-teto-de-gastos-preservado-e-reformas-no-horizonte-cenario-e-de-retomada/," Pedro Jobim ",2,set,2020
133,www.infomoney.com.br/-/ministerio-da-saude-retira-covid-19-da-lista-de-doencas-de-trabalho/," Agência Brasil ",2,set,2020
134,https://www.infomoney.com.br/negocios/242-mil-empresas-reduziram-empregados-684-delas-cortaram-ate-25-do-pessoal/," Estadão Conteúdo ",2,set,2020
135,www.infomoney.com.br/-/campos-neto-o-que-faz-sentido-e-ter-disciplina-fiscal-e-abrir-a-economia/," Estadão Conteúdo ",2,set,2020
